,SMILES,xTB_S1,xTB_T1,T1S1ratio
202710,c1cncc(c1)c1ccc2cc3cc(ccc3cc2c1)c1cccnc1,3.2445287058081944,1.8674203887393237,0.5755598295050867
496000,CCCCCCCCN1C(=O)c2ccc3c4c(c(Br)cc(c24)C1=O)C(=O)N(CCCCCCCC)C3=O,2.8280683407882115,2.0213378912469486,0.7147415294368669
446940,Oc1cc2cc3onnc3cc2cc1F,3.4247561021543924,2.2444070047821527,0.6553479832827441
329099,CSc1ccnc2c1c(N(C)C)cc1cccnc12,3.326909088557739,2.4426630997954555,0.7342139609995726
587037,CNc1nccnn1,2.7792789908003006,1.9709334795981426,0.7091528004644856
459694,Nc1cccc2c1C(=O)C(C(F)(F)F)=CC2=O,2.4055147703350865,1.5793470732417088,0.6565526400911298
191450,CN(CCOC(=O)C=C)c1ccc(cc1)N=NC1=CC=C(S1)N=Nc1ccc(cc1OC(=O)C=C)N(=O)=O,2.252693427952533,1.3178211017940995,0.584997978616142
353724,COc1c2cnccc2cc2cccc(N(C)C)c12,2.85770626641819,1.889804324483342,0.6613011094565702
235910,CCOC(=O)c1cc2oc(C)cc2[nH]1,4.264621564201171,2.8241324583365834,0.6622234624622751
431147,COc1ccc([N+](=O)[O-])c2cc3sncc3cc12,3.082394251331199,2.1680588151035773,0.703368433212998
266893,COc1cc2ccncc2cc1C(F)(F)F,4.0623548370981615,2.8460301115313134,0.700586291857336
407839,O=C(O)c1occ2c(C(F)(F)F)ncnc12,3.30947362482861,2.023236133465373,0.6113468070228696
505342,Clc1ccc(-c2ccc3c(c2)C(c2ccccc2)(c2ccccc2)c2ccccc2-3)cc1,3.940953072391139,2.860752039725573,0.725903604325295
215292,COC(=O)C1=C(C(=O)OC)C2=P(N(C)C)(N(C)C)C(=C(C(=O)OC)C2=P(N(C)C)(N(C)C)C(=C1C(=O)OC)C(=O)OC)C(=O)OC,2.5084386217655252,1.8623165609338908,0.7424206216467552
261681,O=[N+]([O-])c1c2ccsc2cc2cc(S)sc12,2.9359363074300084,2.1580289631751306,0.7350394345114986
327824,Oc1cnc2c(ccc3cccnc32)c1,3.9875545679430737,2.8506235871529,0.7148801448561383
107179,FN1B(CCC(Br)(Br)C(F)(F)Br)N(F)B(CCC(Br)(Br)C(F)(F)Br)N(F)B1CCC(Br)(Br)C(F)(F)Br,4.505183668584606,3.883132133872304,0.8619253774158042
38329,CC(=O)OC1(CC1)C(=O)N,5.666741729775955,4.747170605686623,0.8377248923737893
97496,FB1N(/C(Cl)=C/C(Cl)(Cl)Cl)B(F)N(/C(Cl)=C/C(Cl)(Cl)Cl)B(F)N1/C(Cl)=C/C(Cl)(Cl)Cl,4.652126643208726,3.2588418815615503,0.7005058399084808
291901,CSc1cccc2[nH]c3cccc(SC)c3c12,3.6475644392836273,2.801685905457763,0.7680977134451961
220528,O=C(c1ccccc1)C1=C(OC(=C1c1ccccc1)C=Cc1ccccc1)c1ccccc1,2.916400956600058,1.9824842032205627,0.6797707971992109
324278,Nc1cccc2c1nc(S(=O)(=O)O)c1ccccc12,3.3179580496646475,2.393354622067552,0.7213335992326525
561096,c1ccc(-n2c3ccccc3c3c4c5ccc(-c6ccc7oc8ccncc8c7c6)cc5n(-c5ccccc5)c4ccc32)cc1,3.09642868074483,2.5755509819023565,0.8317811412607188
58928,FC(F)C(F)(F)C(F)(F)CC(F)(F)C(F)(F)C1=CC(Br)=C(C(F)(F)C(F)(F)CC(F)(F)C(F)(F)C(F)F)C=C1Br,4.389840403711359,3.30078752260838,0.751915153867041
